Hitter,Swing,Pitcher,Pitch,Result,Diff,Inning,Outs,Home Score,Away Score,OBC,Batter WPA,Pitcher WPA,RBI,Run,Result at neutral park,Game ID,Inning ID,Session,Batter Team,Pitcher Team,Season,bruh
Lane Drew,721,Junks Tandem,42,K,,,0,,,0,,,,,,1001,10001,,,,1,
Ziggy Ceder,562,Junks Tandem,772,FO,,,1,,,0,,,,,,1001,10001,,,,1,
Quentin Adams,568,Junks Tandem,7,LGO,,,2,,,0,,,,,,1001,10001,,,,1,
Phil Coulson,414,S.A.R. Dinka,138,K,,,0,,,0,,,,,,1001,10002,,,,1,
Forrest Gleeson,45,S.A.R. Dinka,602,LGO,,,1,,,0,,,,,,1001,10002,,,,1,
Y.E. Wally,619,S.A.R. Dinka,172,LGO,,,2,,,0,,,,,,1001,10002,,,,1,
Graham Grams,366,Junks Tandem,17,K,,,0,,,0,,,,,,1001,10003,,,,1,
Luis Flemus,242,Junks Tandem,819,LGO,,,1,,,0,,,,,,1001,10003,,,,1,
Thomas Berry,525,Junks Tandem,2,LGO,,,2,,,0,,,,,,1001,10003,,,,1,
Charles Lindberg,562,S.A.R. Dinka,802,FO,,,0,,,0,,,,,,1001,10004,,,,1,
Gil Metz,108,S.A.R. Dinka,603,LGO,,,1,,,0,,,,,,1001,10004,,,,1,
H.B. Boink,105,S.A.R. Dinka,780,K,,,2,,,0,,,,,,1001,10004,,,,1,
Mike Honcho,408,Junks Tandem,108,K,,,0,,,0,,,,,,1001,10005,,,,1,
Daz Reference,572,Junks Tandem,300,FO,,,1,,,0,,,,,,1001,10005,,,,1,
S.A.R. Dinka,200,Junks Tandem,902,K,,,2,,,0,,,,,,1001,10005,,,,1,
Junks Tandem,22,S.A.R. Dinka,129,1B,,,0,,,0,,,,,,1001,10006,,,,1,
Sadler Oriole,770,S.A.R. Dinka,420,DP,,,0,,,1,,,,,,1001,10006,,,,1,
Jake Blee,272,S.A.R. Dinka,252,HR,,,2,,,0,,,,,,1001,10006,,,,1,
Phil Coulson,887,S.A.R. Dinka,725,BB,,,2,,,0,,,,,,1001,10006,,,,1,
Forrest Gleeson,982,S.A.R. Dinka,801,FO,,,2,,,1,,,,,,1001,10006,,,,1,
Lane Drew,71,Junks Tandem,811,FO,,,0,,,0,,,,,,1001,10007,,,,1,
Ziggy Ceder,71,Junks Tandem,66,HR,,,1,,,0,,,,,,1001,10007,,,,1,
Quentin Adams,772,Junks Tandem,1,FO,,,1,,,0,,,,,,1001,10007,,,,1,
