Play #,Inning,Outs,BRC,Play Type,Pitcher,Pitch #,Hitter,Swing #,Catcher,Throw #,Runner,Steal #,Result,"Run
Scored","Ghost
Scored",RBIs,"Stolen
Base",Diff,"Runs Scored
on Play",Off Team,Def Team,Game #,Session #,Inning,Pitcher ID,Hitter ID,Catcher Id,Runner ID,Season,bruh
1101,T1,0,0,Swing,Ronald Eagle V,922,Reggie Cooke,327,,,,,K,,,,,405,,OAK,CIN,11,1,1100,1111,1127,,,1,
1102,T1,1,0,Swing,Ronald Eagle V,922,Clipper Charge,429,,,,,K,,,,,493,,OAK,CIN,11,1,1100,1111,1126,,,1,
1103,T1,2,0,Swing,Ronald Eagle V,,Blue Moon Barthelemy,,,,,,AutoK,,,,,,,OAK,CIN,11,1,1100,1111,1103,,,1,
1104,B1,0,0,Swing,Jay Schwizzle,605,Willie Mays Hayes,365,,,,,GO,,,,,240,,CIN,OAK,11,1,1101,1106,1119,,,1,
1105,B1,1,0,Swing,Jay Schwizzle,46,Johnny Hopkins,538,,,,,K,,,,,492,,CIN,OAK,11,1,1101,1106,1120,,,1,
1106,B1,2,0,Swing,Jay Schwizzle,78,Clive Babineaux,65,,,,,HR,1,,1,,13,1,CIN,OAK,11,1,1101,1106,1039,,,1,
1107,B1,2,0,Swing,Jay Schwizzle,980,William Wallace,545,,,,,K,,,,,435,,CIN,OAK,11,1,1101,1106,1170,,,1,
1108,T2,0,0,Swing,Ronald Eagle V,500,Caleb VanVacter,450,,,,,2B,,,,,50,,OAK,CIN,11,1,1102,1111,1101,,,1,
1109,T2,0,2,Swing,Ronald Eagle V,,Grey Goose McGillicuddy,,,,,,AutoK,,,,,,,OAK,CIN,11,1,1102,1111,1105,,,1,
1110,T2,1,2,Swing,Ronald Eagle V,777,Antwan Zella,198,,,,,K,,,,,421,,OAK,CIN,11,1,1102,1111,1100,,,1,
1111,T2,2,2,Swing,Ronald Eagle V,250,Graham Otherie,475,,,,,GO,,,,,225,,OAK,CIN,11,1,1102,1111,1102,,,1,
1112,B2,0,0,Swing,Jay Schwizzle,470,Alexander Hamilton,432,,,,,2B,1,,,,38,,CIN,OAK,11,1,1103,1106,1124,,,1,
1113,B2,0,2,Swing,Jay Schwizzle,318,Vandalia Halen,950,,,,,K,,,,,368,,CIN,OAK,11,1,1103,1106,1121,,,1,
